ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Parcelna številka za geolokacijo;Interna oznaka dela stavbe;Evidentiranost dela stavbe;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta dela stavbe;Leto izgradnje dela stavbe;Stavba je dokončana;Gradbena faza;Novogradnja;Prodana površina;Prodani delež dela stavbe;Prodana površina dela stavbe;Prodana uporabna površina dela stavbe;Nadstropje dela stavbe;Število zunanjih parkirnih mest;Atrij;Površina atrija;Opombe o nepremičnini;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina;Prostori dela stavbe;Pogodbena cena dela stavbe;Stopnja DDV dela stavbe
634512;1898;MEKINJE;KAMNIK;572;1;;;1;;;;;1;4;1969;1;;;14;1/1;;;;;;;;15 - Garaža;pritličje;;14,2;14,2; garaža;;
632965;808;ZGORNJA MUTA;MUTA;218;30;;;1;MUTA;GASILSKA ULICA;3;;30;2;1976;1;;;57;1/1;;;;;;;;2 - Stanovanje;nadstropje;;56,9;52,2; bivalni prostor | klet | odprta terasa, balkon, loža;;
640092;1753;VIŽMARJE;LJUBLJANA;;;123/60;;2;;;;;;3;2009;1;;0;;1/1;13;;;;;;;;;;;;-;;
633629;2357;IDRIJA MESTO;IDRIJA;1579;4;;;1;IDRIJA;TOMŠIČEVA ULICA;16;;4;2;1890;1;;;50;1/1;;;;;;;;2 - Stanovanje;nadstropje;;49,9;43,5; bivalni prostor | klet;;
633747;2100;KRANJ;KRANJ;786;7;;;1;KRANJ;TOMŠIČEVA ULICA;2;;7;2;1989;1;;;53;1/1;;;;;;;;2 - Stanovanje;mansarda;;53,4;40,5; bivalni prostor | prostor z omejeno uporabo;;
638427;2706;ZELENA JAMA;LJUBLJANA;1030;172;;;1;LJUBLJANA;ŠMARTINSKA CESTA;72;;172;2;2009;1;;;129;1/1;;;;;;;;2 - Stanovanje;;;128,8;100,8; bivalni prostor | klet | odprta terasa, balkon, loža;;
632119;659;TABOR;MARIBOR;2389;1;;;1;MARIBOR;KOSESKEGA ULICA;34;;;1;1930;1;;;156;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;155,6;116,1; bivalni prostor | klet;;
633310;2121;KLANEC;KRANJ;458;39;;;1;KRANJ;ULICA TUGA VIDMARJA;8;;39;2;1981;1;;;83;1/1;;;;;;;;2 - Stanovanje;nadstropje;;82,9;74,2; bivalni prostor | klet | odprta terasa, balkon, loža;;
633664;2636;BEŽIGRAD;LJUBLJANA;1973;35;;;1;LJUBLJANA;ULICA METODA MIKUŽA;18;;48;2;1983;1;;;106;1/1;;;;;;;;2 - Stanovanje;nadstropje;;106,2;95,7; bivalni prostor | klet | zaprta terasa, balkon, loža;;
638540;716;RAČE;RAČE-FRAM;2003;33;;;1;RAČE;MARIBORSKA CESTA;36;;33;14;2009;1;;;3;1/1;;;;;;;;33 - Klet;pritličje;;3,2;3,2; klet;;
